集团名称,集团类型,主管机构,牵头单位,成员名称,成员类型,黑色数据来源,成员数据来源,链接,其他备注
东莞市道滘镇济川幼儿园教育集团,基础教育,广东省，东莞市,东莞市道滘镇济川幼儿园,东莞市道滘镇闸口幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市道滘镇济川幼儿园教育集团,基础教育,广东省，东莞市,东莞市道滘镇济川幼儿园,东莞市道滘太阳光幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市道滘镇济川幼儿园教育集团,基础教育,广东省，东莞市,东莞市道滘镇济川幼儿园,东莞市道滘大罗沙幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市道滘镇济川幼儿园教育集团,基础教育,广东省，东莞市,东莞市道滘镇济川幼儿园,东莞市道滘贝比兔幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市长安镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市长安镇中心幼儿园,东莞市长安镇实验幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市长安镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市长安镇中心幼儿园,东莞市长安镇乌沙幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市樟木头镇蓓蕾幼儿园教育集团,基础教育,广东省，东莞市,东莞市樟木头镇蓓蕾幼儿园,东莞市樟木头镇第一幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市樟木头镇蓓蕾幼儿园教育集团,基础教育,广东省，东莞市,东莞市樟木头镇蓓蕾幼儿园,东莞市樟木头新城市幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市塘厦镇第一幼儿园教育集团,基础教育,广东省，东莞市,东莞市塘厦镇第一幼儿园,东莞市塘厦镇清湖头幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市塘厦镇第一幼儿园教育集团,基础教育,广东省，东莞市,东莞市塘厦镇第一幼儿园,东莞市塘厦东东幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市塘厦镇第一幼儿园教育集团,基础教育,广东省，东莞市,东莞市塘厦镇第一幼儿园,东莞市塘厦新东方幼儿园,幼儿园,当地教育厅或政府公告,,,
