学校名称,学校标识码,主管部门,所在省份,所在城市,办学层次,学校性质
潍坊环境工程职业学院,4137014710.0,山东省教育厅,山东省,潍坊市,专科,民办
滨州科技职业学院,4137014749.0,山东省教育厅,山东省,滨州市,专科,民办
华北水利水电大学,4141010078.0,河南省,河南省,郑州市,本科,公办
郑州大学,4141010459.0,河南省,河南省,郑州市,本科,公办
河南理工大学,4141010460.0,河南省,河南省,焦作市,本科,公办
郑州轻工业大学,4141010462.0,河南省,河南省,郑州市,本科,公办
河南工业大学,4141010463.0,河南省,河南省,郑州市,本科,公办
河南科技大学,4141010464.0,河南省,河南省,洛阳市,本科,公办
中原工学院,4141010465.0,河南省,河南省,郑州市,本科,公办
河南农业大学,4141010466.0,河南省,河南省,郑州市,本科,公办
河南科技学院,4141010467.0,河南省,河南省,新乡市,本科,公办
河南牧业经济学院,4141010469.0,河南省,河南省,郑州市,本科,公办
河南中医药大学,4141010471.0,河南省,河南省,郑州市,本科,公办
新乡医学院,4141010472.0,河南省,河南省,新乡市,本科,公办
河南大学,4141010475.0,河南省,河南省,开封市,本科,公办
河南师范大学,4141010476.0,河南省,河南省,新乡市,本科,公办
信阳师范学院,4141010477.0,河南省,河南省,信阳市,本科,公办
周口师范学院,4141010478.0,河南省,河南省,周口市,本科,公办
安阳师范学院,4141010479.0,河南省,河南省,安阳市,本科,公办
许昌学院,4141010480.0,河南省,河南省,许昌市,本科,公办
南阳师范学院,4141010481.0,河南省,河南省,南阳市,本科,公办
洛阳师范学院,4141010482.0,河南省,河南省,洛阳市,本科,公办
商丘师范学院,4141010483.0,河南省,河南省,商丘市,本科,公办
河南财经政法大学,4141010484.0,河南省,河南省,郑州市,本科,公办
郑州航空工业管理学院,4141010485.0,河南省,河南省,郑州市,本科,公办
黄淮学院,4141010918.0,河南省,河南省,驻马店市,本科,公办
平顶山学院,4141010919.0,河南省,河南省,平顶山市,本科,公办
郑州工程技术学院,4141011068.0,河南省,河南省,郑州市,本科,公办
洛阳理工学院,4141011070.0,河南省,河南省,洛阳市,本科,公办
新乡学院,4141011071.0,河南省,河南省,新乡市,本科,公办
信阳农林学院,4141011326.0,河南省,河南省,信阳市,本科,公办
河南工学院,4141011329.0,河南省,河南省,新乡市,本科,公办
安阳工学院,4141011330.0,河南省,河南省,安阳市,本科,公办
河南工程学院,4141011517.0,河南省,河南省,郑州市,本科,公办
河南财政金融学院,4141011652.0,河南省,河南省,郑州市,本科,公办
南阳理工学院,4141011653.0,河南省,河南省,南阳市,本科,公办
河南城建学院,4141011765.0,河南省,河南省,平顶山市,本科,公办
河南警察学院,4141011788.0,河南省,河南省,郑州市,本科,公办
黄河科技学院,4141011834.0,河南省教育厅,河南省,郑州市,本科,民办
铁道警察学院,4141012735.0,公安部,河南省,郑州市,本科,公办
郑州科技学院,4141012746.0,河南省教育厅,河南省,郑州市,本科,民办
郑州工业应用技术学院,4141012747.0,河南省教育厅,河南省,郑州市,本科,民办
郑州师范学院,4141012949.0,河南省,河南省,郑州市,本科,公办
郑州财经学院,4141013497.0,河南省教育厅,河南省,郑州市,本科,民办
黄河交通学院,4141013498.0,河南省教育厅,河南省,焦作市,本科,民办
商丘工学院,4141013500.0,河南省教育厅,河南省,商丘市,本科,民办
河南开封科技传媒学院,4141013501.0,河南省教育厅,河南省,开封市,本科,民办
中原科技学院,4141013502.0,河南省教育厅,河南省,郑州市,本科,民办
信阳学院,4141013503.0,河南省教育厅,河南省,信阳市,本科,民办
安阳学院,4141013504.0,河南省教育厅,河南省,安阳市,本科,民办
新乡医学院三全学院,4141013505.0,河南省教育厅,河南省,新乡市,本科,民办
新乡工程学院,4141013506.0,河南省教育厅,河南省,新乡市,本科,民办
郑州工商学院,4141013507.0,河南省教育厅,河南省,郑州市,本科,民办
