学校名称,学校标识码,主管部门,所在省份,所在城市,办学层次,学校性质
南昌应用技术师范学院,4136013440,江西省教育厅,江西省,南昌市,本科,民办
江西财经大学现代经济管理学院,4136013441,江西省教育厅,江西省,南昌市,本科,民办
豫章师范学院,4136013774,江西省,江西省,南昌市,本科,公办
江西软件职业技术大学,4136013776,江西省教育厅,江西省,南昌市,本科,民办
南昌师范学院,4136014437,江西省,江西省,南昌市,本科,公办
上饶幼儿师范高等专科学校,3636000312,江西省,江西省,上饶市,专科,公办
抚州幼儿师范高等专科学校,3636000519,江西省,江西省,抚州市,专科,公办
江西工业职业技术学院,4136010839,江西省,江西省,南昌市,专科,公办
江西医学高等专科学校,4136010888,江西省,江西省,上饶市,专科,公办
九江职业大学,4136011505,江西省,江西省,九江市,专科,公办
九江职业技术学院,4136011785,江西省,江西省,九江市,专科,公办
江西司法警官职业学院,4136012929,江西省,江西省,南昌市,专科,公办
江西陶瓷工艺美术职业技术学院,4136012930,江西省,江西省,景德镇市,专科,公办
江西旅游商贸职业学院,4136012932,江西省,江西省,南昌市,专科,公办
江西电力职业技术学院,4136012933,江西省,江西省,南昌市,专科,公办
江西环境工程职业学院,4136012934,江西省,江西省,赣州市,专科,公办
江西艺术职业学院,4136012936,江西省,江西省,南昌市,专科,公办
鹰潭职业技术学院,4136012937,江西省,江西省,鹰潭市,专科,公办
江西信息应用职业技术学院,4136012939,江西省,江西省,南昌市,专科,公办
江西交通职业技术学院,4136012940,江西省,江西省,南昌市,专科,公办
江西财经职业学院,4136012941,江西省,江西省,九江市,专科,公办
江西应用技术职业学院,4136012942,江西省,江西省,赣州市,专科,公办
江西现代职业技术学院,4136012943,江西省,江西省,南昌市,专科,公办
江西工业工程职业技术学院,4136012944,江西省,江西省,萍乡市,专科,公办
江西机电职业技术学院,4136012976,江西省,江西省,南昌市,专科,公办
江西科技职业学院,4136013419,江西省教育厅,江西省,南昌市,专科,民办
江西外语外贸职业学院,4136013422,江西省,江西省,南昌市,专科,公办
江西工业贸易职业技术学院,4136013423,江西省,江西省,南昌市,专科,公办
宜春职业技术学院,4136013424,江西省,江西省,宜春市,专科,公办
江西应用工程职业学院,4136013425,江西省,江西省,萍乡市,专科,公办
