学校名称,学校标识码,主管部门,所在省份,所在城市,办学层次,学校性质,985工程_加入时间,985工程_入选批次,985工程_共建部门,985工程_期数,985工程_协议签署时间,985工程_实力梯队,双一流建设,双一流建设_第一轮,双一流建设_第一轮_类别,双一流建设_第二轮,双一流建设_第二轮_学科名单,骨干高职,骨干高职_重点建设专业,示范性高职,示范性高职_重点建设专业,教育部直属,中央部委直属,强基计划,双高计划,学校类别,创建时间,学校地址,学校官网,学校简称,曾用名,占地面积（亩）,985工程,211工程,预算总收入（亿元，2022年）,本年度收入（亿元，2022年）,财政拨款数（亿元，2022年）,财政拨款占比（2022年）,人工补全记录
吉林城市职业技术学院,4122014426.0,吉林省教育厅,吉林省,长春市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1986.0,吉林省长春市宽城区凯旋北路7666号,http://www.jlcsxy.com,,,450.0,0.0,0.0,,,,,
吉林职业技术学院,4122014567.0,吉林省教育厅,吉林省,延边朝鲜族自治州,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2015.0,吉林省延边朝鲜族自治州龙井市学府路739,http://www.jlhtedu.com,吉职,,922.0,0.0,0.0,,,,,
吉林水利电力职业学院,4122014602.0,吉林省,吉林省,长春市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2016.0,吉林省长春市净月区聚业大街6566号,https://www.jlsy.edu.cn/,吉林水电学院,,300.0,0.0,0.0,,,,,
长春健康职业学院,4122014603.0,吉林省教育厅,吉林省,长春市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2016.0,吉林省长春市高新区锦河街155号,http://www.ccvch.com/,,,185.0,0.0,0.0,,,,,
长春早期教育职业学院,4122014701.0,吉林省教育厅,吉林省,长春市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2020.0,吉林省长春市长白公路与烧锅大街交汇,http://www.cczjxy.com/,,,225.0,0.0,0.0,,,,,
梅河口康美职业技术学院,4122014702.0,吉林省教育厅,吉林省,通化市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,医药类,2020.0,吉林省梅河口市康美大道2888号,http://www.mhkkmzyjsxy.com/,,,1038.0,0.0,0.0,,,,,
吉林通用航空职业技术学院,4122014743.0,吉林省,吉林省,吉林市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2021.0,吉林省吉林市高新北区科技大路中段吉林市职业教育园区,http://www.jlthedu.com/,,,582.0,0.0,0.0,,,,,
通化医药健康职业学院,4122014744.0,吉林省,吉林省,通化市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,2021.0,吉林省通化市东昌区保安路1597号,http://www.thyyjkzyxy.org.cn/,,,288.0,0.0,0.0,,,,,
黑龙江大学,4123010212.0,黑龙江省,黑龙江省,哈尔滨市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1941.0,黑龙江省哈尔滨市南岗区学府路74号,http://www.hlju.edu.cn/,黑大,中国人民抗日军政大学第三分校俄文队,2610.0,0.0,0.0,9.18,9.18,,,
哈尔滨工业大学,4123010213.0,工业和信息化部,黑龙江省,哈尔滨市,本科,公办,1999年11月,首批9所（C9联盟）,工业与信息化部、教育部、黑龙江省,一期,1999.11,3.0,1.0,1.0,A类,1.0,力学、机械工程、材料科学与工程、控制科学与工程、计算机科学与技术、土木工程、航空宇航科学与技术、环境科学与工程,0.0,,0.0,,0.0,1.0,1.0,0.0,理工类,1920.0,黑龙江省哈尔滨市南岗区西大直街92号,http://www.hit.edu.cn,"哈尔滨工大,hit,哈工大",,5212.0,1.0,1.0,144.18,89.44,31.33,0.2173,
哈尔滨理工大学,4123010214.0,黑龙江省,黑龙江省,哈尔滨市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1950.0,黑龙江省哈尔滨市南岗区学府路52号,http://www.hrbust.edu.cn/,哈理工,,2448.0,0.0,0.0,9.97,9.97,,,
哈尔滨工程大学,4123010217.0,工业和信息化部,黑龙江省,哈尔滨市,本科,公办,,,,,,,1.0,0.0,,1.0,船舶与海洋工程,0.0,,0.0,,0.0,1.0,0.0,0.0,理工类,1953.0,黑龙江省哈尔滨市南岗区南通大街145号,http://www.hrbeu.edu.cn/,"哈工程,HEU,哈尔滨工程学院,哈尔滨工程",中国人民解放军军事工程学院,2105.0,0.0,1.0,54.88,38.15,16.23,0.2958,
黑龙江科技大学,4123010219.0,黑龙江省,黑龙江省,哈尔滨市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1947.0,黑龙江省哈尔滨市松北区浦源路2468号,http://www.usth.edu.cn/,"黑科大,HLJUST",黑龙江科技学院,1065.0,0.0,0.0,5.18,5.18,,,
东北石油大学,4123010220.0,黑龙江省,黑龙江省,大庆市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1960.0,黑龙江省大庆市高新技术产业开发区学府街99号,http://www.nepu.edu.cn/,大庆石油学院,大庆石油学院,2537.0,0.0,0.0,6.66,6.66,,,
佳木斯大学,4123010222.0,黑龙江省,黑龙江省,佳木斯市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1947.0,黑龙江省佳木斯市学府街258号,http://www.jmsu.edu.cn/,佳大,,1965.0,0.0,0.0,6.4,6.4,,,
黑龙江八一农垦大学,4123010223.0,黑龙江省,黑龙江省,大庆市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,农林类,1958.0,黑龙江省大庆市高新区新风路5号,http://www.byau.edu.cn/,"八一农大,八一农垦",,1801.0,0.0,0.0,4.09,4.09,,,
东北农业大学,4123010224.0,黑龙江省,黑龙江省,哈尔滨市,本科,公办,,,,,,,1.0,0.0,,1.0,畜牧学,0.0,,0.0,,0.0,0.0,0.0,0.0,农林类,1948.0,黑龙江省哈尔滨市香坊区长江路600号,http://www.neau.edu.cn,东北农大,东北农学院,7446.0,0.0,1.0,7.86,7.86,,,
东北林业大学,4123010225.0,教育部,黑龙江省,哈尔滨市,本科,公办,,,,,,,1.0,0.0,,1.0,林业工程、林学,0.0,,0.0,,1.0,0.0,0.0,0.0,农林类,1952.0,黑龙江省哈尔滨市香坊区和兴路26号,http://www.nefu.edu.cn/,东北林大,,2040.0,0.0,1.0,20.83,17.13,11.09,0.5325,
哈尔滨医科大学,4123010226.0,黑龙江省,黑龙江省,哈尔滨市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,医药类,1926.0,黑龙江省哈尔滨市区南岗区保健路157号,http://www.hrbmu.edu.cn/,"哈尔滨医大,哈医大",,3540.0,0.0,0.0,8.1,8.1,,,
黑龙江中医药大学,4123010228.0,黑龙江省,黑龙江省,哈尔滨市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,医药类,1954.0,黑龙江省哈尔滨市香坊区和平路24号,http://www.hljucm.net/,,,0.0,0.0,0.0,3.92,3.92,,,
牡丹江医学院,4123010229.0,黑龙江省,黑龙江省,牡丹江市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,医药类,1958.0,黑龙江省牡丹江市爱民区通乡路3号,http://www.mdjmu.cn/,牡医,,1068.0,0.0,0.0,2.58,2.58,,,
哈尔滨师范大学,4123010231.0,黑龙江省,黑龙江省,哈尔滨市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,师范类,1951.0,"松北校区：黑龙江省哈尔滨市利民经济技术开发区师大南路1号,江南校区：黑龙江省哈尔滨市南岗区和兴路50号",http://www.hrbnu.edu.cn/,哈师大,,2321.0,0.0,0.0,8.32,8.32,,,
齐齐哈尔大学,4123010232.0,黑龙江省,黑龙江省,齐齐哈尔市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1952.0,黑龙江省齐齐哈尔市建华区文化大街42号,http://www.qqhru.edu.cn/,齐大,,2085.0,0.0,0.0,6.43,6.43,,,
牡丹江师范学院,4123010233.0,黑龙江省,黑龙江省,牡丹江市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,师范类,1958.0,黑龙江省牡丹江市爱民区文化街191号,http://www.mdjnu.cn/,牡师院,"东北农学院嫩江分院,北安师范专科学校,宁安师范专科学校",1025.0,0.0,0.0,3.58,3.58,,,
哈尔滨学院,4123010234.0,黑龙江省,黑龙江省,哈尔滨市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1999.0,黑龙江省哈尔滨市南岗区中兴大道109号（原南岗区学府四道街9号）,http://www.hrbu.edu.cn/,哈学院,,975.0,0.0,0.0,3.96,3.96,,,
大庆师范学院,4123010235.0,黑龙江省,黑龙江省,大庆市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,师范类,1965.0,黑龙江省大庆市让胡路区西佳路23号,http://www.dqsy.net,"大庆师院,大庆师范",,928.0,0.0,0.0,2.31,2.31,,,
绥化学院,4123010236.0,黑龙江省,黑龙江省,绥化市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1953.0,黑龙江省绥化市黄河南路18号,http://www.shxy.edu.cn,,,870.0,0.0,0.0,2.33,2.33,,,
哈尔滨商业大学,4123010240.0,黑龙江省,黑龙江省,哈尔滨市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,财经类,1952.0,"北校区：黑龙江省哈尔滨市松北区学海街1号,南校区：黑龙江省哈尔滨市道里区通达街138号",http://www.hrbcu.edu.cn/,哈尔滨商大,,1748.0,0.0,0.0,5.72,5.72,,,
哈尔滨体育学院,4123010242.0,黑龙江省,黑龙江省,哈尔滨市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,体育类,1956.0,黑龙江省哈尔滨市南岗区大成街1号,http://www.hrbipe.edu.cn/,哈体院,,4172.0,0.0,0.0,1.48,1.48,,,
哈尔滨金融学院,4123010245.0,黑龙江省,黑龙江省,哈尔滨市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,财经类,1950.0,黑龙江省哈尔滨市香坊区电碳路65号,http://www.hrbfu.edu.cn/,哈尔滨金融高等专科学校,,988.0,0.0,0.0,2.1,2.1,,,
齐齐哈尔医学院,4123011230.0,黑龙江省,黑龙江省,齐齐哈尔市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,医药类,1946.0,黑龙江省齐齐哈尔市建华卜奎北大街333号,https://www.qmu.edu.cn/,齐医,,1650.0,0.0,0.0,3.02,3.02,,,
黑龙江工业学院,4123011445.0,黑龙江省,黑龙江省,鸡西市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1984.0,黑龙江省鸡西市和平南大街99号,https://www.hljut.edu.cn/,"黑工业,黑龙江工业大学",鸡西大学,1118.0,0.0,0.0,1.59,1.59,,,
黑龙江东方学院,4123011446.0,黑龙江省教育厅,黑龙江省,哈尔滨市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1992.0,黑龙江省哈尔滨市平房区哈南工业新城哈南十九路1号,http://www.dfxy.net/,,东方大学,889.0,0.0,0.0,,,,,
哈尔滨信息工程学院,4123011635.0,黑龙江省教育厅,黑龙江省,哈尔滨市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1995.0,"哈东校区：黑龙江省哈尔滨市宾西经济技术开发区大学城9号,江北校区：黑龙江省哈尔滨市利民开发区学院路950号",https://www.greathiit.com,"哈信息,哈信工",哈尔滨华夏计算机职业技术学院,1045.0,0.0,0.0,,,,,
黑龙江工程学院,4123011802.0,黑龙江省,黑龙江省,哈尔滨市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1952.0,黑龙江省哈尔滨市道外区红旗大街999号,http://www.hljit.edu.cn,黑工程,,1200.0,0.0,0.0,2.98,2.98,,,
齐齐哈尔工程学院,4123012729.0,黑龙江省教育厅,黑龙江省,齐齐哈尔市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1991.0,黑龙江省齐齐哈尔市南苑高新技术产业开发区喜庆路1号,https://www.qqhrit.com/,齐齐哈尔职业学院,,1305.0,0.0,0.0,,,,,
黑龙江外国语学院,4123013296.0,黑龙江省教育厅,黑龙江省,哈尔滨市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,语言类,1993.0,黑龙江省哈尔滨市利民开发区师大南路1号,http://www.hiu.edu.cn/,"龙外,HIU",哈尔滨师范大学恒星学院,825.0,0.0,0.0,,,,,
黑龙江财经学院,4123013298.0,黑龙江省教育厅,黑龙江省,哈尔滨市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,财经类,1999.0,黑龙江省哈尔滨市利民开发区学院路1230号,https://www.hfu.edu.cn/,黑财经,哈尔滨德强商务学院,1057.0,0.0,0.0,,,,,
哈尔滨石油学院,4123013299.0,黑龙江省教育厅,黑龙江省,哈尔滨市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,2003.0,黑龙江省哈尔滨市松北区松浦路297号,http://www.hip.edu.cn,哈石油,大庆石油学院华瑞学院,1336.0,0.0,0.0,,,,,
黑龙江工商学院,4123013300.0,黑龙江省教育厅,黑龙江省,哈尔滨市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2002.0,松北校区：黑龙江省哈尔滨利民开发区学院路群英街33号（原时代大街1号）,https://www.hibu.edu.cn/,黑工商,东北农业大学成栋学院,1080.0,0.0,0.0,,,,,
哈尔滨远东理工学院,4123013301.0,黑龙江省教育厅,黑龙江省,哈尔滨市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1994.0,黑龙江省哈尔滨市利民开发区学院路时代大街158号,http://www.fe-edu.com.cn/,哈尔滨理工大学远东学院,哈尔滨理工大学远东学院,795.0,0.0,0.0,,,,,
哈尔滨剑桥学院,4123013303.0,黑龙江省教育厅,黑龙江省,哈尔滨市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1996.0,黑龙江省哈尔滨市香坊区哈平路239号,https://www.hcc.edu.cn/,黑龙江大学剑桥学院,黑龙江大学剑桥学院,1084.0,0.0,0.0,,,,,
黑龙江工程学院昆仑旅游学院,4123013304.0,黑龙江省教育厅,黑龙江省,哈尔滨市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1998.0,黑龙江省哈尔滨市二龙山风景区,https://www.kllyxy.com/,昆仑旅院,,576.0,0.0,0.0,,,,,
哈尔滨广厦学院,4123013306.0,黑龙江省教育厅,黑龙江省,哈尔滨市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2000.0,黑龙江省哈尔滨市利民开发区学院路1号,http://www.gsxy.cn/,哈尔滨商业大学广厦学院,哈尔滨商业大学广厦学院,686.0,0.0,0.0,,,,,
哈尔滨华德学院,4123013307.0,黑龙江省教育厅,黑龙江省,哈尔滨市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1992.0,黑龙江省哈尔滨新区利民开发区学院路288号（地铁二号线终点站）,http://www.hhdu.edu.cn,"哈尔滨工业大学华德应用技术学院,华德学院",哈尔滨工业大学华德应用技术学院,1155.0,0.0,0.0,,,,,
黑河学院,4123013744.0,黑龙江省,黑龙江省,黑河市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1958.0,黑龙江省黑河市学院路1号,http://www.hhhxy.cn/,,"黑河师范专科学校,齐齐哈尔师范学院黑河分校,齐齐哈尔大学黑河分校",923.0,0.0,0.0,2.34,2.34,,,
哈尔滨音乐学院,4123014560.0,黑龙江省,黑龙江省,哈尔滨市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,艺术类,2013.0,黑龙江省哈尔滨市松北区学子街3179号,http://www.hrbcm.edu.cn,哈音,哈尔滨师范大学音乐学院,329.0,0.0,0.0,0.65,0.65,,,
齐齐哈尔高等师范专科学校,4123010238.0,黑龙江省,黑龙江省,齐齐哈尔市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,师范类,1906.0,黑龙江省齐齐哈尔市民航路566号,http://www.qqhrtc.com/,齐齐哈尔师范高等专科学校,,319.0,0.0,0.0,,,,,
伊春职业学院,4123010872.0,黑龙江省,黑龙江省,伊春市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1999.0,黑龙江省伊春市伊美区花园路4号,http://www.ycvc.com.cn,伊春职院,,540.0,0.0,0.0,,,,,
牡丹江大学,4123011046.0,黑龙江省,黑龙江省,牡丹江市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1983.0,黑龙江省牡丹江市爱民区西地明街530号,http://www.mdjdx.cn/,牡大,,560.0,0.0,0.0,,,,,
黑龙江职业学院,4123011449.0,黑龙江省,黑龙江省,哈尔滨市,专科,公办,,,,,,,0.0,0.0,,0.0,,1.0,城市热能应用技术、电气自动化技术、物流管理,0.0,,0.0,0.0,0.0,1.0,综合类,1948.0,"第一校区：黑龙江省哈尔滨市南岗区学府路5号,第二校区：黑龙江省哈尔滨市双城区迎宾路162号",http://www.hljp.edu.cn,龙职,黑龙江职业学院(黑龙江省经济管理干部学院),1379.0,0.0,0.0,,,,,
黑龙江建筑职业技术学院,4123012053.0,黑龙江省,黑龙江省,哈尔滨市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,1.0,建筑工程技术专业、建筑装饰工程技术专业、供热通风与空调工程技术专业、市政工程技术专业,0.0,0.0,0.0,1.0,理工类,1948.0,黑龙江省哈尔滨市呼兰区学院路999号,http://www.hict.org.cn/,黑龙江建筑职院,哈尔滨技术专门学校,1320.0,0.0,0.0,,,,,
黑龙江艺术职业学院,4123012490.0,黑龙江省,黑龙江省,哈尔滨市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,艺术类,1959.0,黑龙江省哈尔滨市南岗区和兴路149号,http://www.hljyzy.org.cn/,黑龙江艺术学院,,160.0,0.0,0.0,,,,,
大庆职业学院,4123012718.0,黑龙江省,黑龙江省,大庆市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,1.0,石油化工生产技术、油气开采技术、数控技术,0.0,0.0,0.0,0.0,理工类,2001.0,黑龙江省大庆市萨尔图区火炬北二路1号,http://www.dqzyxy.net,大庆职院,,5511.0,0.0,0.0,,,,,
黑龙江林业职业技术学院,4123012724.0,黑龙江省,黑龙江省,牡丹江市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,农林类,1958.0,黑龙江省牡丹江市爱民区文化街99号,http://www.hljlzy.com/,黑龙江林业职院,,7500.0,0.0,0.0,,,,,
黑龙江农业职业技术学院,4123012725.0,黑龙江省,黑龙江省,佳木斯市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,农林类,1948.0,黑龙江省佳木斯市前进区胜利东路248号,http://www.hljnzy.net/,黑龙江农业学院,,660.0,0.0,0.0,,,,,
黑龙江农业工程职业学院,4123012726.0,黑龙江省,黑龙江省,哈尔滨市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,1.0,畜牧兽医、物流管理、机电一体化技术、农业机械应用技术、汽车检测与维修技术,0.0,0.0,0.0,1.0,农林类,1948.0,黑龙江省哈尔滨市南岗区哈双路348号,http://www.hngzy.com,,,4077.0,0.0,0.0,,,,,
黑龙江农垦职业学院,4123012727.0,黑龙江省,黑龙江省,哈尔滨市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2001.0,黑龙江省哈尔滨市利民开发区学院路660号,http://www.nkzy.org.cn/,黑龙江农垦职院,,600.0,0.0,0.0,,,,,
黑龙江司法警官职业学院,4123012728.0,黑龙江省,黑龙江省,哈尔滨市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,政法类,1979.0,黑龙江省哈尔滨市南岗区学府路503号,http://www.hljsfjy.org.cn,黑龙江司法警官职院,,0.0,0.0,0.0,,,,,
鹤岗师范高等专科学校,4123012905.0,黑龙江省,黑龙江省,鹤岗市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,师范类,2002.0,黑龙江省鹤岗市东山区101省道旁,http://www.hgtc.org.cn/,鹤岗师专,,759.0,0.0,0.0,,,,,
哈尔滨电力职业技术学院,4123012906.0,黑龙江省,黑龙江省,哈尔滨市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1958.0,黑龙江省哈尔滨市香坊区香电街59号,http://www.hl.sgcc.com.cn/hdy/,,,378.0,0.0,0.0,,,,,
哈尔滨铁道职业技术学院,4123012907.0,黑龙江省,黑龙江省,哈尔滨市,专科,公办,,,,,,,0.0,0.0,,0.0,,1.0,高速铁道技术、城市轨道交通工程技术、土木工程检测技术、工程造价、道路桥梁工程技术,0.0,,0.0,0.0,0.0,1.0,理工类,1959.0,黑龙江省哈尔滨市平房区哈南第二大道20号,http://www.htxy.net/,哈铁学院,哈尔滨铁路工程学校,999.0,0.0,0.0,,,,,
大兴安岭职业学院,4123012908.0,黑龙江省,黑龙江省,大兴安岭地区,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2002.0,黑龙江省大兴安岭地区加格达奇区加红路与学府路交汇处,http://www.dxalu.org.cn,大兴安岭职院,,660.0,0.0,0.0,,,,,
黑龙江农业经济职业学院,4123012910.0,黑龙江省,黑龙江省,牡丹江市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,1.0,作物生产技术、食品加工技术、农业经济管理、畜牧兽医、绿色食品生产与检验,0.0,0.0,0.0,1.0,农林类,1958.0,黑龙江省牡丹江市西安区,http://www.hnyjj.org.cn,农经学院,,1898.0,0.0,0.0,,,,,
哈尔滨职业技术学院,4123012911.0,黑龙江省,黑龙江省,哈尔滨市,专科,公办,,,,,,,0.0,0.0,,0.0,,1.0,电气自动化技术、道路桥梁工程、模具设计与制造、焊接技术与自动化,0.0,,0.0,0.0,0.0,1.0,综合类,2002.0,黑龙江省哈尔滨市香坊区哈平路217号,http://www.hzjxy.org.cn/,"哈尔滨职业技术学校,哈职院",,1665.0,0.0,0.0,,,,,
哈尔滨传媒职业学院,4123013302.0,黑龙江省教育厅,黑龙江省,哈尔滨市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1989.0,黑龙江省哈尔滨市南岗区红旗乡（京哈公路13.5公里处）,http://www.hrbmcc.com/,哈传媒,哈尔滨现代公共关系职业学院,240.0,0.0,0.0,,,,,
黑龙江商业职业学院,4123013448.0,黑龙江省,黑龙江省,牡丹江市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,财经类,1958.0,黑龙江省牡丹江市爱民区西圣林街333号,https://www.hljszy.org.cn/,,,165.0,0.0,0.0,,,,,
黑龙江公安警官职业学院,4123013449.0,黑龙江省,黑龙江省,哈尔滨市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,政法类,1946.0,黑龙江省哈尔滨市呼兰区利民开发区学院南路333号,http://www.hlpolice.gov.cn/,黑龙江警院,,720.0,0.0,0.0,,,,,
哈尔滨城市职业学院,4123013451.0,黑龙江省教育厅,黑龙江省,哈尔滨市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1993.0,黑龙江省哈尔滨市新华开发区城市职业学院,http://www.13451.cn/,哈尔滨城市学院,黑龙江北开职业技术学院，哈尔滨江南职业技术学院,240.0,0.0,0.0,,,,,
黑龙江旅游职业技术学院,4123013729.0,黑龙江省,黑龙江省,哈尔滨市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,财经类,2004.0,黑龙江省哈尔滨市南岗区学府路315号,http://www.ljlyzy.org.cn/,龙旅职院,,246.0,0.0,0.0,,,,,
黑龙江三江美术职业学院,4123013730.0,黑龙江省教育厅,黑龙江省,佳木斯市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,艺术类,1980.0,黑龙江省佳木斯市郊区大来社区,https://www.sjmsxy.net.cn/,"三江学院,黑龙江三江美术,三江美术",,600.0,0.0,0.0,,,,,
黑龙江生态工程职业学院,4123013731.0,黑龙江省,黑龙江省,哈尔滨市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,农林类,1953.0,黑龙江省哈尔滨市呼兰区利民开发区学院路77号,http://www.hljstgc.org.cn/,黑龙江生态工程职业学院,,1039.0,0.0,0.0,,,,,
黑龙江能源职业学院,4123013732.0,黑龙江省,黑龙江省,双鸭山市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1949.0,黑龙江省双鸭山市迎宾大道公立街1号,http://www.hljny.org.cn/,黑能源,黑龙江能源职业技术学院,410.0,0.0,0.0,,,,,
七台河职业学院,4123013918.0,黑龙江省,黑龙江省,七台河市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2005.0,黑龙江省七台河市桃山区学府街229号,https://www.qthzyxy.com/,七台河职院,,405.0,0.0,0.0,,,,,
黑龙江民族职业学院,4123013935.0,黑龙江省,黑龙江省,哈尔滨市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,民族类,1928.0,黑龙江省哈尔滨市哈南工业新城核心区哈南十五路1号,http://www.hljmzzyxy.org.cn/,,,456.0,0.0,0.0,,,,,
