学校名称,办学层次,学校性质,学校类别,主管部门,所在省份,所在城市,创建时间,学校地址,学校官网,学校简称,曾用名,占地面积（亩）,985工程,211工程
伊犁师范大学,普通本科,公办,师范类,新疆维吾尔自治区,新疆,伊犁哈萨克自治州,1948,新疆维吾尔自治区伊宁市解放西路448号,https://www.ylnu.edu.cn/,伊犁师范,伊犁师范学院,1278,2,2
重庆文理学院,普通本科,公办,综合类,重庆市,重庆,重庆市,1976,重庆市永川区红河大道319号,http://www.cqwu.edu.cn/,重文理,渝西学院,1767,2,2
沈阳工程学院,普通本科,公办,理工类,辽宁省,辽宁,沈阳市,2003,辽宁省沈阳市沈北新区蒲昌路18号,http://www.sie.edu.cn/,沈工院,,1290,2,2
赤峰学院,普通本科,公办,综合类,内蒙古自治区,内蒙古,赤峰市,2003,内蒙古自治区赤峰市红山区迎宾路1号,http://www.cfxy.cn/,赤院,,935,2,2
西安文理学院,普通本科,公办,综合类,陕西省,陕西,西安市,2003,陕西省西安市雁塔区科技六路一号,http://www.xawl.edu.cn/,"西文理,西安文理",,750,2,2
昆明学院,普通本科,公办,综合类,云南省,云南,昆明市,1978,云南省昆明市国家经济技术开发区浦新路2号,http://www.kmu.edu.cn,"昆院,昆明大学",,2439,2,2
黑河学院,普通本科,公办,综合类,黑龙江省,黑龙江,黑河市,1958,黑龙江省黑河市学院路1号,http://www.hhhxy.cn/,,"黑河师范专科学校,齐齐哈尔师范学院黑河分校,齐齐哈尔大学黑河分校",923,2,2
广西财经学院,普通本科,公办,财经类,广西壮族自治区,广西,南宁市,2004,"相思湖校区：广西壮族自治区南宁市大学西路189号,明秀校区：广西壮族自治区南宁市明秀西路100号",https://www.gxufe.edu.cn/,桂财院,,1922,2,2
吉林医药学院,普通本科,公办,医药类,吉林省,吉林,吉林市,1952,吉林省吉林市吉林大街5号,http://www.jlmu.cn/,"吉林医药,吉林医学院",,791,2,2
金陵科技学院,普通本科,公办,理工类,江苏省,江苏,南京市,1958,江苏省南京市江宁区弘景大道99号,https://www.jit.edu.cn/,金科院,,1525,2,2
徐州工程学院,普通本科,公办,综合类,江苏省,江苏,徐州市,1959,江苏省徐州市云龙区丽水路2号,http://www.xzit.edu.cn,徐州工院,,2100,2,2
河南职业技术学院,专科（高职）,公办,理工类,河南省,河南,郑州市,1954,河南省郑州市郑东新区龙子湖高校园区平安大道210号,http://www.hnzj.edu.cn/,河南职院,河南省技工教育师范学校,1240,2,2
江苏农牧科技职业学院,专科（高职）,公办,农林类,江苏省,江苏,泰州市,1958,江苏省泰州市凤凰东路8号,https://www.jsahvc.edu.cn/,"江苏农牧学院,江苏牧院",江苏畜牧兽医职业技术学院,4390,2,2
湖北经济学院法商学院,普通本科,民办,财经类,湖北省教育厅,湖北,武汉市,2004,湖北省武汉市江夏区藏龙岛开发区杨桥湖大道8号,http://www.hbfs.edu.cn/,法商学院,,500,2,2
保险职业学院,专科（高职）,公办,财经类,湖南省,湖南,长沙市,1986,湖南省长沙市天心区中豹塘路196号,http://www.bxxy.com,中国保险大学,,157,2,2
